,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T09:30:00Z,94402,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T10:00:00Z,94402,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T10:30:00Z,87656,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T11:00:00Z,87656,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T11:30:00Z,77116,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T12:00:00Z,77116,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T12:30:00Z,72462,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T13:00:00Z,72462,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T13:30:00Z,38715,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T14:00:00Z,38715,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T14:30:00Z,29182,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T15:00:00Z,29182,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T15:30:00Z,30863,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T16:00:00Z,30863,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T16:30:00Z,31577,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T17:00:00Z,31577,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T17:30:00Z,35709,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T18:00:00Z,35709,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T18:30:00Z,42280,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T19:00:00Z,42280,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T19:30:00Z,60432,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
