timestamp,_time,_value,_measurement,_field,equipo,campo_equipo
2026-01-06 14:15:00.000000,2026-01-06T14:15:00+00:00,3213.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:16:00.000000,2026-01-06T14:16:00+00:00,8832.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:17:00.000000,2026-01-06T14:17:00+00:00,1070.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:18:00.000000,2026-01-06T14:18:00+00:00,9900.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:19:00.000000,2026-01-06T14:19:00+00:00,10080.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:20:00.000000,2026-01-06T14:20:00+00:00,10575.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:21:00.000000,2026-01-06T14:21:00+00:00,9590.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:22:00.000000,2026-01-06T14:22:00+00:00,8649.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:23:00.000000,2026-01-06T14:23:00+00:00,7800.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:24:00.000000,2026-01-06T14:24:00+00:00,6848.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:25:00.000000,2026-01-06T14:25:00+00:00,5105.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:26:00.000000,2026-01-06T14:26:00+00:00,1150.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:27:00.000000,2026-01-06T14:27:00+00:00,2102.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:28:00.000000,2026-01-06T14:28:00+00:00,2496.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:29:00.000000,2026-01-06T14:29:00+00:00,1122.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:31:00.000000,2026-01-06T14:31:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:32:00.000000,2026-01-06T14:32:00+00:00,2763.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:33:00.000000,2026-01-06T14:33:00+00:00,4880.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:34:00.000000,2026-01-06T14:34:00+00:00,3645.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:35:00.000000,2026-01-06T14:35:00+00:00,10070.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:36:00.000000,2026-01-06T14:36:00+00:00,11270.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:37:00.000000,2026-01-06T14:37:00+00:00,5495.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:38:00.000000,2026-01-06T14:38:00+00:00,2350.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:39:00.000000,2026-01-06T14:39:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:40:00.000000,2026-01-06T14:40:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:41:00.000000,2026-01-06T14:41:00+00:00,417.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:49:00.000000,2026-01-06T14:49:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:50:00.000000,2026-01-06T14:50:00+00:00,5572.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:52:00.000000,2026-01-06T14:52:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:53:00.000000,2026-01-06T14:53:00+00:00,548.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:54:00.000000,2026-01-06T14:54:00+00:00,6744.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:55:00.000000,2026-01-06T14:55:00+00:00,10530.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:55:12.694280,2026-01-06T14:55:12.694280+00:00,2276.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:22:00.000000,2026-01-06T13:22:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:23:00.000000,2026-01-06T13:23:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:24:00.000000,2026-01-06T13:24:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:25:00.000000,2026-01-06T13:25:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:26:00.000000,2026-01-06T13:26:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:27:00.000000,2026-01-06T13:27:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:28:00.000000,2026-01-06T13:28:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:29:00.000000,2026-01-06T13:29:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:30:00.000000,2026-01-06T13:30:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:31:00.000000,2026-01-06T13:31:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:32:00.000000,2026-01-06T13:32:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:33:00.000000,2026-01-06T13:33:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:34:00.000000,2026-01-06T13:34:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:35:00.000000,2026-01-06T13:35:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:36:00.000000,2026-01-06T13:36:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:37:00.000000,2026-01-06T13:37:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:38:00.000000,2026-01-06T13:38:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:39:00.000000,2026-01-06T13:39:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:40:00.000000,2026-01-06T13:40:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:41:00.000000,2026-01-06T13:41:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
2026-01-06 13:42:00.000000,2026-01-06T13:42:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 8_consumo_minuto,COMPRESOR ATLAS 8,AIRE COMPRIMIDO_COMPRESOR ATLAS 8_consumo_minuto
